HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:24500	VIRMA	vir like m6A methyltransferase associated	Approved	gene with protein product	KIAA1429	DKFZP434I116, fSAP121	8q22.1	25962	ENSG00000164944	OTTHUMG00000164426	1419	 m6A methyltransferase complex
HGNC:29330	METTL14	methyltransferase like 14	Approved	gene with protein product		KIAA1627	4q26	57721	ENSG00000145388	OTTHUMG00000161167	1419	 m6A methyltransferase complex
HGNC:17563	METTL3	methyltransferase like 3	Approved	gene with protein product		Spo8, M6A, MT-A70	14q11.2	56339	ENSG00000165819	OTTHUMG00000168825	1419	 m6A methyltransferase complex
HGNC:16846	WTAP	WT1 associated protein	Approved	gene with protein product		KIAA0105, MGC3925, Mum2	6q25.3	9589	ENSG00000146457	OTTHUMG00000015933	1419	 m6A methyltransferase complex
HGNC:324	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	Approved	gene with protein product		LPAAT-alpha	6p21.32	10554	ENSG00000204310	OTTHUMG00000031210	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:25718	LPCAT1	lysophosphatidylcholine acyltransferase 1	Approved	gene with protein product	AYTL2	FLJ12443, AGPAT9, AGPAT10	5p15.33	79888	ENSG00000153395	OTTHUMG00000131017	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:26032	LPCAT2	lysophosphatidylcholine acyltransferase 2	Approved	gene with protein product	AYTL1	FLJ20481, AGPAT11, LysoPAFAT	16q12.2	54947	ENSG00000087253	OTTHUMG00000133238	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:325	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	Approved	gene with protein product	BSCL	LPAAT-beta	9q34.3	10555	ENSG00000169692	OTTHUMG00000020936	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:326	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	Approved	gene with protein product		LPAAT-gamma	21q22.3	56894	ENSG00000160216	OTTHUMG00000086892	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:20885	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	Approved	gene with protein product		LPAAT-delta, dJ473J16.2	6q26	56895	ENSG00000026652	OTTHUMG00000015966	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:20886	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	Approved	gene with protein product		FLJ11210, LPAAT-e, LPAAT-epsilon	8p23.1	55326	ENSG00000155189	OTTHUMG00000163656	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:20880	GPAT4	glycerol-3-phosphate acyltransferase 4	Approved	gene with protein product	AGPAT6	DKFZp586M1819, LPAAT-zeta, TSARG7	8p11.21	137964	ENSG00000158669	OTTHUMG00000164082	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:30059	LPCAT4	lysophosphatidylcholine acyltransferase 4	Approved	gene with protein product	AYTL3, AGPAT7	FLJ10257, LPAAT-eta, LPEAT2	15q14	254531	ENSG00000176454	OTTHUMG00000172349	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:26756	LCLAT1	lysocardiolipin acyltransferase 1	Approved	gene with protein product	LYCAT	FLJ37965, ALCAT1, AGPAT8	2p23.1	253558	ENSG00000172954	OTTHUMG00000099349	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:28157	GPAT3	glycerol-3-phosphate acyltransferase 3	Approved	gene with protein product	AGPAT9	MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10	4q21.23	84803	ENSG00000138678	OTTHUMG00000130431	46	1-acylglycerol-3-phosphate O-acyltransferases
HGNC:12849	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	Approved	gene with protein product	YWHAA		20q13.12	7529	ENSG00000166913	OTTHUMG00000032549	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12851	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Approved	gene with protein product		FLJ45465	17p13.3	7531	ENSG00000108953	OTTHUMG00000134316	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12852	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	Approved	gene with protein product		PPP1R170	7q11.23	7532	ENSG00000170027	OTTHUMG00000022862	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12853	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	Approved	gene with protein product	YWHA1		22q12.3	7533	ENSG00000128245	OTTHUMG00000030833	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12854	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Approved	gene with protein product		HS1, 14-3-3	2p25.1	10971	ENSG00000134308	OTTHUMG00000013848	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:10773	SFN	stratifin	Approved	gene with protein product		YWHAS	1p36.11	2810	ENSG00000175793	OTTHUMG00000004093	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12855	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Approved	gene with protein product	YWHAD	KCIP-1, 14-3-3-zeta	8q22.3	7534	ENSG00000164924	OTTHUMG00000134291	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:44278	RNA18S1	RNA, 18S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632259			1383	18S ribosomal RNAs
HGNC:44279	RNA18S2	RNA, 18S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632258			1383	18S ribosomal RNAs
HGNC:44280	RNA18S3	RNA, 18S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106631782			1383	18S ribosomal RNAs
HGNC:44281	RNA18S4	RNA, 18S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255165			1383	18S ribosomal RNAs
HGNC:37657	RNA18S5	RNA, 18S ribosomal 5	Approved	RNA, ribosomal	RN18S1		22p12 not on reference assembly	110255169			1383	18S ribosomal RNAs
HGNC:44286	RNA28S1	RNA, 28S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632267			1385	28S ribosomal RNAs
HGNC:44287	RNA28S2	RNA, 28S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632266			1385	28S ribosomal RNAs
HGNC:44288	RNA28S3	RNA, 28S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106632265			1385	28S ribosomal RNAs
HGNC:44289	RNA28S4	RNA, 28S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255164			1385	28S ribosomal RNAs
